    -0.084      1.099      0.685      0.335      0.465     -0.219     -1.174      0.092      0.000      0.908      0.000      3.000   4
    -0.011     -0.678     -0.919     -0.435      0.590     -1.181     -1.021      0.200      0.000      0.800      0.000      3.000   5
    -0.600     -0.755     -1.059      0.099      0.557     -0.045     -0.299      0.019      0.532      0.449      0.000      2.000   7
     0.463      0.193      2.345      0.010      0.926     -0.127     -0.301      0.991      0.000      0.009      0.000      1.000   8
     1.297      0.659      0.107     -0.393      0.956      0.268     -0.482      0.013      0.000      0.987      0.000      3.000   9
    -0.127     -0.573     -0.624     -0.121      0.239     -0.157     -0.253      0.000      0.952      0.048      0.000      2.000  10
    -0.232     -1.563     -0.155      0.210      0.004     -0.245      0.005      0.001      0.958      0.041      0.000      2.000  11
     0.174      0.487      0.053      0.193      0.193     -0.236      0.086      0.001      0.888      0.111      0.000      2.000  12
     0.350      0.168     -0.659     -0.171     -0.193      0.084     -0.116      0.000      0.941      0.058      0.000      2.000  17
    -0.222     -0.602     -0.502     -0.005      0.756     -0.959     -1.120      0.093      0.000      0.907      0.000      3.000  18
    -0.658     -0.401      0.964      0.007     -0.203     -0.090      0.162      0.014      0.925      0.061      0.000      2.000  20
     0.902      1.412      0.099     -0.413      1.312     -0.981     -0.367      0.092      0.000      0.908      0.000      3.000  21
    -0.267     -1.149     -0.107      0.455      0.541     -0.527      0.569      0.036      0.000      0.964      0.000      3.000  22
     0.394      0.659     -0.579     -0.348      0.249     -0.831      0.020      0.015      0.003      0.982      0.000      3.000  23
     0.106      0.504      0.191     -0.038      0.457      0.025     -0.297      0.002      0.727      0.271      0.000      2.000  26
     0.637      0.997      0.146      0.123      0.002      0.170     -0.031      0.000      0.925      0.075      0.000      2.000  27
    -0.962      0.430      0.152      0.363     -0.432      0.482      0.005      0.081      0.008      0.911      0.000      3.000  28
    -0.501     -0.656     -0.243     -0.234      0.058     -0.102     -0.161      0.001      0.968      0.032      0.000      2.000  29
    -0.039     -0.358      0.235      0.469     -1.674     -0.765      1.119      0.668      0.000      0.332      0.000      1.000  30
     0.387     -0.464     -0.510     -0.410      0.589      0.119     -1.201      0.019      0.000      0.981      0.000      3.000  31
    -0.346     -0.308     -0.084      1.328      0.315     -0.124      0.747      0.054      0.000      0.946      0.000      3.000  32
    -0.254      1.092     -0.704      0.274      0.051     -0.680     -0.021      0.022      0.082      0.896      0.000      3.000  33
     0.082      0.285     -0.304      0.127      0.558     -0.418     -0.343      0.006      0.089      0.905      0.000      3.000  34
     0.534      0.512     -0.281      0.136     -0.052     -0.311      0.237      0.001      0.771      0.228      0.000      2.000  35
