     0.936      0.323     -0.195      0.766      0.245     -0.108      0.424      0.000      0.963      0.029      0.008      0.000      2.000  303
    -2.985     -0.818      1.207     -0.608     -0.762     -3.245     -0.227      1.000      0.000      0.000      0.000      0.000      1.000  864
    -1.065     -0.474     -0.093      0.084     -0.432      1.250     -0.636      0.201      0.004      0.006      0.790      0.000      4.000  898
    -0.172      1.213     -1.375      0.455     -1.076      2.045      1.731      0.948      0.000      0.008      0.044      0.000      1.000  162
     0.266     -0.333      2.159     -0.455     -0.540     -1.349     -0.416      0.045      0.000      0.526      0.429      0.000      3.000 1204
    -0.804      1.249      0.189     -1.176      0.532      0.619      0.660      0.120      0.002      0.004      0.873      0.000      4.000  703
    -0.336     -0.421      1.884     -0.362      0.521     -0.404      0.041      0.020      0.000      0.224      0.756      0.000      4.000  657
    -2.405      0.383      1.439     -1.495     -0.366      2.042     -1.390      0.999      0.000      0.000      0.001      0.000      1.000  794
    -1.191      0.161      0.539      0.690     -1.380     -0.983      0.475      0.679      0.000      0.004      0.316      0.000      1.000  179
    -3.274      0.100      0.886     -0.564     -1.013     -1.180     -2.051      1.000      0.000      0.000      0.000      0.000      1.000  624
    -0.569     -0.227     -0.403     -2.218      1.542     -0.784      0.757      0.271      0.000      0.000      0.729      0.000      4.000 1166
    -0.266      0.776      0.999      0.923     -1.601      0.449      0.299      0.227      0.000      0.662      0.111      0.000      3.000 1342
     0.669      1.207      0.355      0.768      0.504     -0.296     -0.730      0.006      0.656      0.205      0.133      0.000      2.000 1135
    -0.487     -0.407      0.850      0.930      1.173     -0.916      1.505      0.169      0.000      0.015      0.816      0.000      4.000 1173
     0.018      0.874      2.029     -0.400      0.237     -0.235     -0.899      0.026      0.000      0.531      0.444      0.000      3.000  871
    -3.084     -1.042      0.925     -1.128     -1.179      2.611     -1.322      1.000      0.000      0.000      0.000      0.000      1.000  444
    -0.116     -0.075      0.386      1.297     -0.203      0.020     -0.299      0.025      0.098      0.068      0.810      0.000      4.000 1497
    -0.716     -0.125      0.340     -0.798      0.889      0.053      1.151      0.074      0.004      0.012      0.909      0.000      4.000  209
     1.383      0.132     -0.168      0.198      0.355     -0.328      0.633      0.000      0.964      0.034      0.002      0.000      2.000  498
     1.425     -0.012     -0.657      0.032      0.603      0.162     -0.039      0.000      0.975      0.024      0.001      0.000      2.000 1727
    -0.391      0.233     -1.342     -1.273      1.024      0.519      0.258      0.063      0.016      0.014      0.907      0.000      4.000 1369
    -3.460      1.219     -0.675     -1.698     -1.994      0.219     -3.040      1.000      0.000      0.000      0.000      0.000      1.000 1178
     1.107      0.785      0.503      0.634      0.127      0.498      0.897      0.007      0.387      0.567      0.040      0.000      3.000 1757
    -1.765      1.499      1.470      0.285     -2.090     -0.931      2.638      1.000      0.000      0.000      0.000      0.000      1.000  939
    -1.616     -2.119      1.292      0.616     -2.239     -2.015     -0.340      0.999      0.000      0.000      0.001      0.000      1.000  673
    -0.377     -0.434      0.924      0.923     -2.087     -0.531     -0.176      0.379      0.000      0.576      0.045      0.000      3.000  326
    -0.498      0.659      1.209     -2.721      0.944     -0.105      0.431      0.257      0.000      0.000      0.743      0.000      4.000  965
    -2.177     -0.706     -1.285     -1.400     -0.002     -0.427     -0.572      0.846      0.000      0.000      0.154      0.000      1.000 1741
     1.061     -0.092      0.852      0.507     -1.840     -1.405      0.854      0.085      0.000      0.908      0.006      0.000      3.000  219
    -0.128      0.016      0.979     -0.420     -0.254     -2.300     -0.972      0.112      0.000      0.002      0.886      0.000      4.000 1278
    -0.338      0.356      0.410     -1.861     -1.204     -1.516      0.591      0.477      0.000      0.001      0.521      0.000      4.000  895
    -1.050     -1.664     -0.585      0.259      0.714     -0.090      0.059      0.056      0.001      0.005      0.937      0.000      4.000 1245
     0.600      1.234     -0.988     -0.235      0.249     -0.473     -0.579      0.002      0.913      0.040      0.045      0.000      2.000 1847
     0.830     -1.166      1.994      0.088      0.825      1.118     -0.820      0.005      0.000      0.971      0.024      0.000      3.000 1255
     1.044     -0.849      0.922     -0.474      0.883      0.831      0.625      0.005      0.006      0.947      0.041      0.000      3.000  645
    -1.531      1.071      0.608     -0.455     -2.639      0.106      0.350      0.998      0.000      0.001      0.000      0.000      1.000 1188
    -0.876      0.354     -0.899     -1.377     -0.243     -1.246      0.578      0.119      0.001      0.000      0.880      0.000      4.000  757
    -0.616     -0.258      1.498      0.405     -0.987     -0.791      0.140      0.141      0.000      0.153      0.706      0.000      4.000  521
    -0.041     -0.356      1.916     -0.498      0.189      0.424     -0.100      0.013      0.000      0.590      0.397      0.000      3.000  930
    -0.080     -0.709      1.876     -1.182     -0.937      0.533     -0.095      0.077      0.000      0.617      0.305      0.000      3.000 1128
    -0.124     -1.677      0.857      0.341      0.422      0.597     -0.704      0.020      0.001      0.331      0.648      0.000      4.000 1238
    -1.685      0.390      1.065      0.239     -0.862      0.869     -0.259      0.780      0.000      0.001      0.219      0.000      1.000  557
    -0.074      0.295     -0.190      0.167      0.902      0.226      0.134      0.003      0.786      0.048      0.163      0.000      2.000  821
    -0.809     -1.236      0.860     -2.501      0.119      0.312     -0.224      0.173      0.000      0.000      0.827      0.000      4.000 1062
    -0.458     -0.466      0.183     -1.579      0.284     -0.762      0.350      0.029      0.004      0.002      0.966      0.000      4.000 1375
    -1.303      1.523      2.424     -0.717     -1.871     -3.031      0.591      1.000      0.000      0.000      0.000      0.000      1.000 1524
     0.684     -0.013     -0.499      0.558     -0.019     -0.265      0.111      0.000      0.968      0.020      0.011      0.000      2.000  356
    -2.474     -0.375     -1.858     -0.869     -0.794     -0.793     -2.755      1.000      0.000      0.000      0.000      0.000      1.000  925
    -0.786      0.871      0.690      0.096      0.255      0.895      0.667      0.093      0.002      0.025      0.879      0.000      4.000  555
    -0.235      0.256     -0.198      1.071     -1.445     -1.608      0.930      0.607      0.001      0.021      0.371      0.000      1.000  306
     0.806     -2.188      1.733      0.417      0.867      1.092      0.033      0.005      0.000      0.973      0.022      0.000      3.000  788
     0.400     -1.100      0.894      1.469      1.353     -1.344     -0.671      0.107      0.000      0.084      0.809      0.000      4.000  769
    -1.074     -0.562      1.580     -0.143     -0.723      0.199      1.699      0.619      0.000      0.017      0.364      0.000      1.000 1096
    -1.408      0.113     -0.964      1.278      0.486     -1.418      0.175      0.251      0.000      0.000      0.749      0.000      4.000  922
     1.205     -1.325     -0.017      0.147     -0.787      0.401     -0.096      0.003      0.113      0.874      0.010      0.000      3.000  565
     0.056      0.565     -0.513      1.369     -2.679      1.604      1.682      0.982      0.000      0.018      0.000      0.000      1.000 1184
     0.461     -0.946      0.067      0.157     -0.174     -1.169     -1.279      0.023      0.313      0.145      0.519      0.000      4.000 1033
    -1.778      0.370      0.881     -2.063     -1.003     -0.757      1.550      0.981      0.000      0.000      0.019      0.000      1.000  798
     0.550     -1.041     -0.925     -0.132     -0.054      1.241     -0.403      0.011      0.492      0.317      0.180      0.000      2.000  177
     1.258     -1.345      1.082      0.622      0.568      0.645      0.741      0.004      0.001      0.975      0.020      0.000      3.000 1545
     0.422     -0.091      1.827      0.036     -1.296      1.443      0.777      0.034      0.000      0.953      0.013      0.000      3.000 1492
    -1.510      0.902     -0.832      0.685      0.935     -0.411      1.109      0.475      0.000      0.000      0.525      0.000      4.000 1340
     0.506      1.549     -0.496     -0.413     -0.220      0.899      0.761      0.021      0.573      0.267      0.139      0.000      2.000 1734
    -1.255      0.644     -1.020      1.210      0.535     -0.069      0.902      0.244      0.001      0.000      0.755      0.000      4.000 1370
     0.809      0.427      2.225     -0.332      0.097      1.087      0.765      0.007      0.000      0.968      0.025      0.000      3.000  499
    -0.415     -0.313     -0.576     -1.164     -0.785     -1.495      0.104      0.100      0.007      0.003      0.890      0.000      4.000  678
    -1.370      1.653      1.370      1.421     -0.850      0.586     -1.173      0.903      0.000      0.000      0.097      0.000      1.000 1624
    -1.613      0.108     -0.246      0.561     -1.026      1.252      2.280      0.993      0.000      0.000      0.007      0.000      1.000 1283
    -0.627      0.243      0.859     -0.376     -0.056      1.377      1.068      0.176      0.000      0.031      0.792      0.000      4.000 1056
    -0.219     -0.579      2.499      0.550      0.298     -0.450      0.183      0.024      0.000      0.499      0.476      0.000      3.000 1193
     0.944      0.933      0.098     -0.490      0.595      0.434      0.811      0.003      0.793      0.177      0.027      0.000      2.000 1323
    -1.053     -1.787      0.472     -1.151     -0.213     -0.326     -1.382      0.202      0.000      0.001      0.797      0.000      4.000 1037
     1.707     -0.493     -0.478      0.085     -1.555      0.231      0.432      0.005      0.027      0.968      0.000      0.000      3.000  217
     1.115      0.929     -0.787     -0.058     -0.039      0.046      0.743      0.001      0.939      0.055      0.005      0.000      2.000  222
    -2.269     -0.366      1.209     -0.476      0.537     -1.642      0.952      0.939      0.000      0.000      0.061      0.000      1.000 1180
    -1.805     -1.195      0.434      1.230     -0.874     -1.636      0.709      0.900      0.000      0.000      0.100      0.000      1.000 1489
    -1.349     -1.176     -1.044     -1.281     -1.429     -0.013      1.179      0.917      0.000      0.000      0.082      0.000      1.000  146
    -1.633     -0.807      1.323      3.151      0.337      1.949     -2.230      0.999      0.000      0.000      0.001      0.000      1.000 1291
     0.287      0.099     -0.076      0.400     -1.649      1.540     -0.525      0.143      0.005      0.814      0.038      0.000      3.000  642
    -0.708      0.051     -0.518      0.046      0.072     -0.553     -0.297      0.017      0.229      0.007      0.746      0.000      4.000  566
     0.146     -0.120     -0.614     -0.960      0.333      0.180     -0.254      0.003      0.794      0.027      0.176      0.000      2.000  252
    -0.046      0.339      2.551     -0.627      1.165      0.765     -0.974      0.053      0.000      0.753      0.194      0.000      3.000  891
     1.856      0.421     -0.564     -0.110     -1.948      0.165     -0.133      0.009      0.004      0.987      0.000      0.000      3.000 1142
    -1.119      0.067      1.370      0.319     -0.226      0.305      0.965      0.201      0.000      0.014      0.785      0.000      4.000  832
    -1.160     -1.940      2.285     -1.897      0.756      0.320      2.223      0.951      0.000      0.000      0.049      0.000      1.000 1617
    -0.441     -0.165     -0.304      0.570     -2.205     -2.930     -0.157      0.993      0.000      0.000      0.007      0.000      1.000  867
    -1.074     -1.668     -0.658     -2.372     -0.304     -1.021     -0.254      0.305      0.000      0.000      0.695      0.000      4.000  130
    -0.170      0.314      0.000      0.258      0.611      1.945      0.830      0.160      0.050      0.044      0.745      0.000      4.000 1302
    -0.147      0.423     -1.296      0.468     -0.141     -1.429     -2.071      0.244      0.007      0.004      0.746      0.000      4.000  582
     0.871     -0.458     -1.151     -0.070      0.761     -0.172     -0.541      0.001      0.891      0.084      0.024      0.000      2.000 1252
    -0.961      0.457      0.097      1.584     -1.356      2.634      1.981      0.999      0.000      0.000      0.001      0.000      1.000  827
    -0.453     -0.543      1.427      0.713      0.372      0.287      0.247      0.028      0.000      0.133      0.839      0.000      4.000 1305
     0.278     -0.246     -0.503     -0.174      0.130     -0.583      0.567      0.001      0.892      0.027      0.080      0.000      2.000  490
    -1.226      0.424     -1.017      1.090      0.432     -0.187      1.372      0.315      0.000      0.000      0.685      0.000      4.000  664
    -1.334     -0.718      1.558     -0.387      1.666     -0.369      0.226      0.427      0.000      0.009      0.564      0.000      4.000  841
    -0.305      0.762     -1.162     -0.900      0.213     -0.795     -1.090      0.041      0.069      0.007      0.883      0.000      4.000 1418
     1.228     -0.053     -0.271     -0.035     -0.342      0.101     -0.749      0.000      0.939      0.058      0.003      0.000      2.000  151
    -1.611      0.354      0.817      0.263     -2.025     -2.067      0.240      0.996      0.000      0.000      0.004      0.000      1.000  758
    -0.657      0.424      0.812     -0.118     -0.306     -0.513      0.031      0.036      0.004      0.036      0.924      0.000      4.000  518
    -1.765      0.416      0.345      1.214     -1.436     -0.792     -0.160      0.950      0.000      0.000      0.050      0.000      1.000 1641
    -0.728     -0.223     -0.778      2.134      0.894      1.217      1.149      0.481      0.000      0.000      0.519      0.000      4.000 1281
    -0.468     -0.465     -0.591      0.434      0.940      0.832     -0.930      0.044      0.151      0.037      0.768      0.000      4.000  597
    -2.142     -1.057      1.054     -1.291      0.456      0.746      0.445      0.875      0.000      0.000      0.125      0.000      1.000  772
    -0.770      0.412      1.422     -1.347     -0.369     -0.531      0.687      0.133      0.000      0.006      0.860      0.000      4.000  384
    -0.816      0.418      0.910     -0.200     -0.158     -0.384     -0.858      0.055      0.001      0.016      0.928      0.000      4.000 1509
    -0.100     -0.339      0.013     -1.040      0.144     -0.258      0.189      0.010      0.299      0.037      0.655      0.000      4.000  740
     0.018     -0.123      0.714     -0.720      0.093      0.249      0.094      0.012      0.073      0.245      0.670      0.000      4.000 1236
    -0.580     -1.071     -0.190      0.440      0.057     -0.903      1.790      0.142      0.002      0.006      0.850      0.000      4.000  647
     1.140      0.396      0.243      0.392      0.397     -0.151      0.016      0.000      0.916      0.076      0.007      0.000      2.000 1707
    -0.689      0.455     -0.605      0.198     -0.257      1.199     -0.214      0.081      0.109      0.019      0.790      0.000      4.000  957
     0.406      0.524      1.092      0.011      0.262      0.042     -0.227      0.006      0.027      0.713      0.255      0.000      3.000  493
     0.253     -0.653     -0.315      0.042      0.288      0.066     -0.077      0.001      0.877      0.051      0.071      0.000      2.000 1163
     0.316      0.903     -0.492      0.144      1.033     -0.585     -0.664      0.002      0.890      0.035      0.073      0.000      2.000  520
    -0.993      1.672     -0.705      1.028      0.083     -0.011      1.433      0.400      0.001      0.001      0.598      0.000      4.000  369
     0.826      1.106     -1.000      0.961      0.087     -1.458      0.476      0.027      0.701      0.037      0.234      0.000      2.000 1553
     0.282      0.073      0.638      0.768      0.004     -0.686      0.170      0.011      0.226      0.219      0.545      0.000      4.000 1867
    -1.071      0.216     -0.661      0.723      0.424      1.590      0.068      0.224      0.004      0.001      0.770      0.000      4.000  774
    -1.213     -1.918     -1.016     -1.527      0.637      0.116      0.563      0.214      0.000      0.000      0.786      0.000      4.000  325
     1.703      0.586     -0.676      0.122      0.614      0.338      0.138      0.000      0.002      0.000      0.000      0.998      5.000  166
    -2.614     -0.756      0.519     -2.176      0.756     -0.336     -0.049      0.988      0.000      0.000      0.012      0.000      1.000 1335
     0.875     -1.543     -0.984      0.043     -0.010      0.593     -1.145      0.011      0.231      0.646      0.112      0.000      3.000 1467
    -0.446      1.617     -1.342      1.269     -1.626      2.211      0.783      0.991      0.000      0.001      0.008      0.000      1.000 1870
    -0.189     -1.458     -1.135      0.424     -0.934      1.193     -0.520      0.156      0.004      0.313      0.527      0.000      4.000  312
     0.505      0.543     -0.597      0.707      0.921      0.984      0.683      0.007      0.815      0.099      0.078      0.000      2.000 1102
     1.364      0.836      1.772     -0.806      0.709      0.610      0.527      0.006      0.000      0.981      0.013      0.000      3.000 1593
    -0.650     -1.025      1.283     -1.889     -2.932     -0.954      0.418      0.996      0.000      0.004      0.000      0.000      1.000  680
    -1.185      0.945     -0.252     -1.446      1.652     -1.170     -2.599      0.968      0.000      0.000      0.032      0.000      1.000 1523
     0.533     -0.594      0.290     -0.757     -1.667     -0.549     -0.459      0.029      0.003      0.938      0.029      0.000      3.000 1359
    -0.995      1.175     -0.855      0.284     -2.460     -0.814      1.185      0.994      0.000      0.005      0.002      0.000      1.000 1225
    -0.965     -0.678      1.777     -0.692     -0.717     -0.416      0.671      0.227      0.000      0.035      0.738      0.000      4.000 1380
    -1.408      0.187     -0.044     -0.645     -1.624      1.523      2.602      0.999      0.000      0.000      0.001      0.000      1.000 1201
     1.020      1.143      1.333      0.373     -0.096      0.636      0.005      0.004      0.001      0.969      0.026      0.000      3.000  389
     0.205     -0.090      1.219     -0.547      0.614      0.664     -0.316      0.012      0.002      0.574      0.412      0.000      3.000  427
    -1.788     -0.283      1.012     -0.356      0.073     -0.133     -0.672      0.386      0.000      0.000      0.614      0.000      4.000  901
    -0.035     -0.540      0.486      0.027     -0.763      0.158      1.676      0.121      0.005      0.443      0.430      0.000      3.000  652
    -0.199     -1.217     -0.657     -0.646     -1.885      0.440      1.191      0.397      0.000      0.553      0.050      0.000      3.000  992
