     5.000      5.000      4.000      4.000      4.000          *      0.000      0.000      1.000          *      5.000      5.000      5.000      5.000      5.000      4.000      5.000      4.000      5.000      4.000      4.000      5.000      4.000      4.000      5.000      4.000      5.000      4.000      4.000      5.000      5.000      4.000      1.601      0.310      0.025      0.500      0.131      0.503      0.446      0.579     -0.020      0.400     -0.559      0.524     -0.220      0.569  303
     0.000      2.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      4.000      0.000      1.000      4.000      1.000      0.000      1.000      0.000      2.000      2.000      0.000      2.000      0.000      0.000      0.000      2.000      0.000      0.000      0.000      2.000      3.000      3.000      0.000     -2.503      0.305     -1.433      0.540     -1.133      0.489     -0.144      0.463     -0.886      0.380     -2.131      0.572     -0.027      0.541  864
     2.000      2.000      2.000      2.000      2.000      2.000      1.000      0.000      0.000      2.000      3.000      3.000      3.000      3.000      3.000      4.000      4.000      3.000      2.000      1.000      2.000      3.000      2.000      3.000      3.000      4.000      4.000      4.000      3.000      3.000      3.000      3.000     -0.797      0.276     -0.462      0.450     -0.058      0.376     -0.411      0.436     -0.273      0.374      0.688      0.504     -1.010      0.522  898
     5.000      5.000      4.000      4.000      4.000      0.000      0.000      0.000      0.000      0.000      4.000      4.000      0.000      5.000      5.000      1.000      4.000      3.000      3.000      0.000      1.000      1.000      1.000      3.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      0.519      0.289      1.041      0.484     -0.841      0.493     -0.360      0.456     -2.028      0.387      1.721      0.612      1.203      0.605  162
     1.000      5.000      3.000      5.000      2.000      0.000          *      0.000      1.000      5.000      1.000      0.000      5.000      5.000      5.000      0.000      5.000      3.000      3.000      1.000      5.000      5.000      5.000      2.000      4.000      2.000      2.000      4.000      4.000      4.000      4.000      1.000      0.631      0.292     -0.930      0.468      0.777      0.434     -0.735      0.444     -0.764      0.374     -2.280      0.484     -0.968      0.544 1204
     3.000      4.000      4.000      3.000      3.000      1.000      0.000      1.000      1.000      2.000      2.000      3.000      4.000      0.000      3.000      4.000      3.000      4.000      4.000      4.000      2.000      3.000      3.000      3.000      3.000      4.000      4.000      4.000      4.000      4.000      4.000      4.000     -0.546      0.282      0.784      0.468      0.037      0.376     -1.247      0.439      0.380      0.402      0.457      0.512      0.356      0.546  703
     2.000      4.000      3.000      3.000      1.000      0.000      2.000      0.000      3.000      5.000      1.000      2.000      3.000      4.000      4.000      4.000      4.000      4.000      3.000      4.000      4.000      3.000      5.000      2.000      3.000      3.000      3.000      4.000      3.000      4.000      4.000      4.000     -0.567      0.282     -0.315      0.461      0.772      0.369     -0.365      0.442      0.882      0.398     -0.423      0.494      0.059      0.536  657
         *      4.000      2.000      0.000      1.000      1.000      1.000      2.000      1.000      4.000          *      0.000      1.000      1.000      1.000      1.000      0.000      4.000      0.000      1.000      1.000      0.000      1.000      0.000      1.000      3.000      4.000      4.000      3.000      1.000      2.000          *     -2.343      0.311      0.285      0.493      0.319      0.363     -0.605      0.483     -0.309      0.367      1.299      0.499     -0.562      0.546  794
     3.000      3.000      2.000      3.000      3.000      3.000      2.000      3.000      3.000      3.000      3.000      3.000      4.000      4.000      3.000      2.000      2.000      2.000      1.000      1.000      2.000      0.000      0.000      2.000      3.000      3.000      2.000      2.000      4.000      3.000      4.000      4.000     -1.293      0.289      0.507      0.458      1.108      0.356      0.482      0.451     -1.177      0.359     -0.999      0.479      0.501      0.542  179
     1.000      1.000      1.000      1.000      1.000      5.000      3.000      4.000      2.000      4.000      1.000      1.000      1.000      1.000      1.000      1.000      1.000      1.000      1.000      1.000      1.000      1.000      1.000      1.000      1.000      1.000      1.000      1.000      1.000      1.000      1.000      1.000     -2.322      0.263     -0.145      0.455      1.412      0.360     -0.519      0.423     -0.534      0.355     -1.008      0.457     -1.378      0.493  624
