20 5 2 3 4 3 3 3 2 2 3 4 4 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 6 10 8 8 9 8 8 8 7 6 7 6 8 4 4 4 10 7 8 6 8 8 9 6 9 6 6 8 9 6 7 7 6 6 7 7 7 7 7 8 9 8 7 7 8 5 6 10 7 8 7 7 7 6 6 8 7 6 4 4 8 7 7 7 6 5 9 9 9 8 8 8 9 7 8 7 8 6 5 7 8 6 7 8 7 10 8 8 7 7 6 8 7 7 8 7 8 8 8 9 7 7 8 7 7 9 10 8 8 8 9 9 3 2 2 4 2 3 3 2 1 Créatif Fiable Sur Innovant Bosseur Créatif Fiable Spontané Fort Authentique Dépressif Colereux Intimidant Argumentive Triste 5 2 10 5 10 7 8 4 5 6 8 6 10 6 6 7 6 5 7 10 8 6 1 5 10 6 3 10 7 10 8 6 10 6 5 6 6 10 6 6 1 6 5 10 3 1 1975 44 14123 2
21 8 1 6 6 6 6 6 1 1 2 1 2 5.0 5.0 5.0 6.0 5.0 6.0 6.0 6.0 6.0 6.0 6.0 6.0 6.0 4.0 6.0 5.0 5.0 4.0 5.0 5.0 5.0 5.0 8 7 8 6 9 7 10 2 3 6 6 3 8 5 3 3 9 9 6 8 9 9 8 9 8 7 4 6 7 8 10 6 9 6 9 8 8 8 5 6 7 7 7 3 8 4 3 8 6 7 8 8 7 8 6 9 9 8 8 9 9 7 9 9 9 9 6 8 8 9 6 8 6 7 4 7 5 8 6 8 8 6 8 6 6 7 6 2 4 5 5 4 4 3 4 7 5 7 5 8 6 7 7 9 9 9 9 6 8 8 8 9 1 4 5 7 6 8 1 7 7 joyeux optimiste curieux tolérent généreux joyeux curieux tolerent optimiste généreux stressé demotivé triste "en colère" desespere 4 3 10 1 8 5 1 2 7 10 7 3 9 4 6 8 10 3 3 7 5 7 1 7 7 7 1 9 3 6 6 9 9 5 7 8 1 9 3 6 7 9 6 6 3 1 1989 30 31270 4
22 8 1 2 4 4 2 2 1 1 2 3 2 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 2.0 5.0 4.0 4.0 4.0 5.0 4.0 5.0 5.0 5.0 5.0 7 7 5 5 9 9 7 4 8 7 7 8 8 7 6 4 9 8 9 7 9 7 9 7 9 8 8 9 5 9 10 8 8 7 7 8 5 4 5 5 5 6 5 8 8 8 2 8 6 8 8 6 7 4 5 8 7 7 6 7 9 9 8 9 6 8 7 8 8 8 8 8 7 8 6 8 6 7 6 8 8 7 8 7 8 8 8 7 5 5 5 7 7 6 6 7 7 8 5 6 7 5 8 8 8 4 5 6 6 6 8 7 4 3 6 3 1 4 4 4 5 solitaire attentionner colerique gentille raleuse chaleureuse contente rigolote attentionner sure malheureuse colerique critique penible renfermer 9 5 9 2 6 9 8 5 7 8 7 8 8 3 6 8 7 6 4 5 8 8 6 6 6 8 4 9 3 9 9 9 8 4 8 8 3 7 4 8 4 7 5 5 2 2 1971 48 65200 4
23 2 1 5 5 5 5 5 1 1 1 1 2 4.0 5.0 6.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 6.0 4.0 4.0 4.0 5.0 4.0 5.0 4.0 5.0 5.0 5.0 5.0 8 5 7 8 7 8 9 8 5 8 8 6 8 7 5 5 9 7 7 5 7 7 9 8 9 7 3 9 7 9 10 5 9 5 8 8 8 8 7 8 7 8 5 5 7 8 8 8 9 8 9 7 7 7 2 5 5 9 3 7 1 5 8 6 9 8 5 7 7 5 3 8 9 7 6 5 5 5 7 7 7 3 8 8 8 10 8 9 5 7 5 5 5 5 9 8 7 5 8 5 7 4 4 7 5 8 8 5 8 8 7 8 3 5 3 8 2 5 2 3 2 POSITIVE GAIE DYNAMIQUE AMOUREUSE DROLE INTELLIGENTE ACTIVE POSITIVE DROLE AIMANTE STRESSEE ANGOISSEE TRISTE NEGATIVE DEPRESSIVE 10 5 10 4 9 5 7 2 2 9 8 5 9 10 7 8 6 2 7 9 5 5 1 3 8 9 2 10 3 9 5 7 9 4 1 9 1 9 8 6 2 9 2 5 2 2 1958 61 75017 1
26 13 2 5 6 5 3 4 2 3 1 2 2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 6 9 10 7 9 9 7 9 7 9 5 8 7 7 10 8 7 9 10 8 8 7 10 7 10 8 8 6 8 7 10 9 7 8 10 8 8 10 10 8 9 10 6 7 8 5 6 7 8 7 6 5 8 9 1 8 4 6 9 10 9 10 9 10 8 8 10 7 8 9 7 6 8 7 6 5 3 7 9 8 4 9 7 9 9 8 8 7 6 9 9 8 5 7 9 5 4 10 7 10 9 8 7 3 9 7 9 10 5 8 10 7 9 6 8 7 9 6 8 9 6 organisé méthodique "soucieux " ambitieux optimiste généreux heureux vif réactif productif triste morose déprimé "non actif" lache 7 8 6 8 6 8 8 3 7 8 8 6 8 7 9 7 6 7 9 9 8 8 7 8 9 6 10 10 8 9 8 9 8 9 9 7 4 7 7 7 9 4 9 8 9 2 1996 23 35000 2
27 11 2 5 6 6 5 5 1 2 2 2 1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 8 8 8 9 8 9 8 9 9 9 8 7 8 9 8 3 9 8 8 5 7 8 3 5 8 3 2 8 9 3 7 4 8 8 8 7 3 8 8 7 9 8 7 6 9 7 2 9 8 8 7 8 8 7 3 8 8 7 7 6 9 5 7 6 8 2 8 8 9 7 9 9 8 8 8 3 7 6 6 4 4 4 8 8 9 9 7 8 8 7 8 9 8 8 9 4 8 3 7 8 3 8 2 7 3 8 4 4 8 8 7 9 2 2 3 2 6 1 7 4 3 rigoureux polyvalent froid silencieux cultivé cultivé perspicace enjoué communicant téméraire fatigué silencieux froid illogique fainéant 8 6 9 2 6 3 6 2 9 9 8 4 9 3 8 8 5 1 2 7 2 1 3 8 5 8 3 8 3 5 3 6 9 9 3 6 4 7 2 8 3 7 4 6 2 1 1978 41 75014 1
28 8 1 4 5 3 4 4 2 2 2 2 4 4.0 4.0 5.0 5.0 5.0 4.0 3.0 4.0 2.0 4.0 5.0 2.0 3.0 3.0 4.0 5.0 3.0 5.0 4.0 5.0 4.0 5.0 6 6 6 7 6 2 6 3 2 2 8 2 9 6 8 9 10 10 9 8 8 6 10 7 8 8 8 8 8 7 8 8 7 7 10 9 8 7 8 10 8 8 7 5 9 8 8 10 9 9 10 5 8 5 6 6 7 3 7 8 5 7 5 7 7 8 7 9 7 7 9 9 8 7 8 5 8 10 7 9 8 8 9 5 8 9 7 6 4 8 5 2 2 7 6 6 7 4 7 8 3 5 7 7 7 7 7 7 7 6 7 7 2 1 1 5 3 2 1 1 2 Aimable "Conciliant " "A l'écoute " "Inspiré " Constructif Gentil "Souriant " Poli "Concentré " Travailleur "Stressé " "Ignorant " "Désagréable " "Contre productif " Mal 5 6 8 3 6 9 7 6 1 9 7 4 8 10 7 6 9 2 8 8 5 7 2 3 7 5 2 7 10 7 9 6 8 4 5 5 2 6 10 6 1 7 5 8 1 1 1974 45 77100 1
29 12 2 3 3 3 3 3 2 1 2 2 2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 7 8 9 7 8 7 8 9 7 4 7 4 8 2 7 2 9 8 7 6 8 6 8 5 7 8 7 9 4 9 7 9 6 9 8 8 8 8 8 8 9 9 8 8 9 9 8 8 8 8 8 5 8 6 3 8 6 8 7 8 9 8 9 7 7 8 8 8 8 8 8 9 8 8 7 8 8 9 8 8 7 8 10 9 9 8 9 8 8 8 8 8 8 8 8 8 8 8 7 7 7 8 8 8 7 9 8 7 7 8 7 8 6 6 6 8 6 8 6 6 6 "Routine " Calme Seule "Chaleur " Heureuse Rapide Volontaire "Discipliné " Droite "Sérieux " Mou "Endormi " Raleuse Colere Mollr 3 2 8 2 7 2 8 3 8 9 6 3 10 7 2 8 8 6 2 5 9 6 2 8 4 3 1 9 2 2 10 8 8 5 9 7 1 6 6 7 3 7 3 1 1 2 1966 53 29217 2
30 6 1 3 5 5 2 4 3 1 1 3 4 6.0 5.0 6.0 5.0 4.0 2.0 5.0 4.0 4.0 1.0 2.0 4.0 1.0 4.0 6.0 3.0 4.0 5.0 6.0 6.0 6.0 4.0 9 10 6 9 5 10 9 6 2 8 10 7 10 10 4 1 10 7 6 5 10 8 8 1 3 6 1 8 4 5 10 2 1 1 1 8 1 10 9 10 9 8 10 1 8 1 1 8 10 9 9 8 8 10 3 6 10 10 1 8 10 8 7 5 2 1 10 8 10 6 1 10 9 9 9 9 9 1 10 10 9 3 10 6 10 10 10 9 1 8 8 5 1 7 10 8 10 10 8 3 7 7 5 9 3 6 3 6 6 5 5 5 1 1 1 4 1 3 6 1 1 Perfectionniste Emotive Imaginative Ambitieuse Enfantin Heureuse Drole Souriante Libre Légere Triste Inquiete Contrariée Déprimée Stréssée 6 3 10 1 9 5 6 5 3 9 8 3 8 6 6 2 1 1 7 9 1 3 1 2 9 4 1 10 5 8 8 6 10 1 1 5 1 10 7 6 6 5 6 4 1 2 1991 28 92350 1
31 6 1 2 2 5 4 5 2 1 1 1 2 5.0 5.0 4.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 6.0 6.0 6.0 4.0 4.0 5.0 6.0 5.0 4.0 4.0 4.0 5.0 8 9 9 8 8 9 8 7 5 9 9 4 9 7 4 3 9 4 8 7 9 9 3 9 10 7 7 8 8 7 9 3 4 7 8 7 8 9 8 8 7 9 5 7 8 9 7 9 8 8 10 8 9 6 7 7 7 7 9 4 9 7 6 8 5 7 8 4 8 8 5 8 9 9 6 9 5 8 6 7 9 7 9 10 7 8 8 8 7 6 6 6 8 6 9 9 9 8 9 7 8 5 10 9 7 9 8 7 7 9 8 8 9 4 3 4 7 3 5 3 2 "disponible " vibrer "ensemble " profiter libre heuruc "vivant " tenace emotif savourer deprime isoler "replier " boudeur "râleur " 7 2 8 4 9 9 9 4 9 5 9 6 8 6 7 8 7 5 4 3 5 8 5 4 9 5 4 8 6 6 8 9 10 8 8 6 6 8 7 8 8 8 9 4 3 1 1983 36 38460 5
