     5.000      5.000      5.000      5.000      5.000      1.000      2.000      3.000      3.000      2.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      4.000      5.000      3.000      5.000      4.000      5.000      4.000      5.000      4.000      4.000      4.000      4.000      4.000     -0.084      0.271      1.099      0.382      0.685      0.380      0.335      0.436      0.465      0.338     -0.219      0.606     -1.174      0.530   4
     3.000      4.000      3.000      4.000      3.000      1.000      1.000      1.000      1.000      1.000      5.000      5.000      5.000      2.000      5.000      5.000      4.000      5.000      6.000      5.000      5.000      6.000      4.000      4.000      4.000      4.000      4.000      4.000      4.000      4.000      4.000      5.000     -0.011      0.271     -0.678      0.382     -0.919      0.380     -0.435      0.436      0.590      0.338     -1.181      0.606     -1.021      0.530   5
     2.000      3.000      5.000      3.000      2.000      2.000      1.000      1.000      1.000      1.000      5.000      5.000      4.000      2.000      5.000      5.000      5.000      5.000      4.000      5.000      4.000      5.000      3.000      3.000      4.000      4.000      4.000      5.000      5.000      4.000      3.000      5.000     -0.600      0.271     -0.755      0.382     -1.059      0.380      0.099      0.436      0.557      0.338     -0.045      0.606     -0.299      0.530   7
     4.000      6.000      4.000      4.000      4.000      3.000      4.000      4.000      4.000      4.000      5.000      5.000      6.000      5.000      4.000      5.000      6.000      6.000      6.000      4.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      0.463      0.271      0.193      0.382      2.345      0.380      0.010      0.436      0.926      0.338     -0.127      0.606     -0.301      0.530   8
     5.000      6.000      5.000      5.000      6.000      1.000      1.000      2.000      1.000      1.000      6.000      5.000      5.000      5.000      6.000      6.000      6.000      6.000      6.000      6.000      5.000      6.000      6.000      5.000      6.000      5.000      6.000      6.000      5.000      6.000      5.000      5.000      1.297      0.271      0.659      0.382      0.107      0.380     -0.393      0.436      0.956      0.338      0.268      0.606     -0.482      0.530   9
     3.000      4.000      3.000      3.000      4.000      2.000      1.000      1.000      1.000      2.000          *          *          *          *          *          *          *          *          *          *          *          *          *          *          *          *          *          *          *          *          *          *     -0.127      0.776     -0.573      0.562     -0.624      0.450     -0.121      0.970      0.239      0.964     -0.157      0.958     -0.253      0.971  10
     2.000      5.000      2.000      2.000      2.000      1.000      1.000      2.000      2.000      3.000          *          *          *          *          *          *          *          *          *          *          *          *          *          *          *          *          *          *          *          *          *          *     -0.232      0.776     -1.563      0.562     -0.155      0.450      0.210      0.970      0.004      0.964     -0.245      0.958      0.005      0.971  11
     4.000      5.000      5.000      4.000      5.000      2.000      1.000      2.000      2.000      2.000          *          *          *          *          *          *          *          *          *          *          *          *          *          *          *          *          *          *          *          *          *          *      0.174      0.776      0.487      0.562      0.053      0.450      0.193      0.970      0.193      0.964     -0.236      0.958      0.086      0.971  12
     4.000      4.000      4.000      5.000      5.000      1.000      1.000      1.000      1.000      2.000          *          *          *          *          *          *          *          *          *          *          *          *          *          *          *          *          *          *          *          *          *          *      0.350      0.776      0.168      0.562     -0.659      0.450     -0.171      0.970     -0.193      0.964      0.084      0.958     -0.116      0.971  17
     3.000      4.000      3.000      3.000      4.000      1.000      1.000      1.000      2.000      3.000      4.000      5.000      5.000      4.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000      3.000      5.000      4.000      4.000      4.000      4.000      4.000      4.000      4.000     -0.222      0.271     -0.602      0.382     -0.502      0.380     -0.005      0.436      0.756      0.338     -0.959      0.606     -1.120      0.530  18
