     6.000      5.000      5.000      5.000          *          *      2.000      6.000      6.000      6.000      6.000      6.000      6.000      5.000      6.000      5.000      5.000      5.000      5.000      6.000      5.000      5.000      6.000      6.000      5.000  303      0.936      0.261      0.323      0.499     -0.195      0.731      0.766      0.468      0.245      0.514     -0.108      0.437      0.424      0.541
     3.000      1.000      1.000      1.000      5.000      6.000      6.000      1.000      2.000      5.000      2.000      1.000      1.000      3.000      3.000      1.000      3.000      1.000      1.000      1.000      1.000      3.000      4.000      4.000      1.000  864     -2.985      0.257     -0.818      0.495      1.207      0.388     -0.608      0.466     -0.762      0.512     -3.245      0.432     -0.227      0.540
     3.000      3.000      3.000      3.000      3.000      3.000      3.000      4.000      4.000      4.000      4.000      4.000      5.000      4.000      3.000      2.000      3.000      5.000      5.000      5.000      5.000      4.000      4.000      4.000      4.000  898     -1.065      0.257     -0.474      0.495     -0.093      0.388      0.084      0.466     -0.432      0.512      1.250      0.432     -0.636      0.540
     6.000      5.000      5.000      5.000      1.000      1.000      1.000      5.000      5.000      1.000      6.000      6.000      5.000      4.000      4.000      1.000      2.000      6.000      6.000      6.000      6.000      6.000      6.000      6.000      6.000  162     -0.172      0.257      1.213      0.495     -1.375      0.388      0.455      0.466     -1.076      0.512      2.045      0.432      1.731      0.540
     6.000      4.000      6.000      3.000      6.000      1.000      6.000      2.000      1.000      6.000      6.000      6.000      6.000      4.000      4.000      2.000      6.000      5.000      3.000      3.000      5.000      5.000      5.000      5.000      2.000 1204      0.266      0.257     -0.333      0.495      2.159      0.388     -0.455      0.466     -0.540      0.512     -1.349      0.432     -0.416      0.540
     5.000      5.000      4.000      4.000      3.000      3.000      4.000      3.000      4.000      5.000      1.000      4.000      4.000      5.000      5.000      5.000      3.000      4.000      5.000      5.000      5.000      5.000      5.000      5.000      5.000  703     -0.804      0.257      1.249      0.495      0.189      0.388     -1.176      0.466      0.532      0.512      0.619      0.432      0.660      0.540
     5.000      4.000      4.000      2.000      6.000      1.000      6.000      2.000      3.000      4.000      5.000      5.000      5.000      5.000      4.000      5.000      5.000      4.000      4.000      4.000      5.000      4.000      5.000      5.000      5.000  657     -0.336      0.257     -0.421      0.495      1.884      0.388     -0.362      0.466      0.521      0.512     -0.404      0.432      0.041      0.540
     5.000      3.000      1.000      2.000      5.000      6.000      5.000          *      1.000      2.000      2.000      2.000      1.000      5.000      1.000      2.000      2.000      5.000      4.000      5.000      5.000      4.000      2.000      3.000          *  794     -2.405      0.261      0.383      0.495      1.439      0.389     -1.495      0.479     -0.366      0.513      2.042      0.433     -1.390      0.565
     4.000      3.000      4.000      4.000      4.000      3.000      4.000      4.000      4.000      5.000      5.000      4.000      3.000      3.000      2.000      2.000      3.000      4.000      4.000      3.000      3.000      5.000      4.000      5.000      5.000  179     -1.191      0.257      0.161      0.495      0.539      0.388      0.690      0.466     -1.380      0.512     -0.983      0.432      0.475      0.540
     2.000      2.000      2.000      2.000      5.000      5.000      5.000      2.000      2.000      2.000      2.000      2.000      2.000      2.000      2.000      2.000      2.000      2.000      2.000      2.000      2.000      2.000      2.000      2.000      2.000  624     -3.274      0.257      0.100      0.495      0.886      0.388     -0.564      0.466     -1.013      0.512     -1.180      0.432     -2.051      0.540
     3.000      4.000      3.000      3.000      2.000      3.000      3.000      2.000      2.000      3.000      3.000      2.000      6.000      6.000      6.000      5.000      5.000      4.000      4.000      4.000      4.000      5.000      5.000      5.000      6.000 1166     -0.569      0.257     -0.227      0.495     -0.403      0.388     -2.218      0.466      1.542      0.512     -0.784      0.432      0.757      0.540
