     0.936      0.323     -0.195      0.766      0.245     -0.108      0.424      0.000      0.062      0.003      0.935      4.000  303
    -2.985     -0.818      1.207     -0.608     -0.762     -3.245     -0.227      0.000      0.000      1.000      0.000      3.000  864
    -1.065     -0.474     -0.093      0.084     -0.432      1.250     -0.636      0.000      0.585      0.410      0.005      2.000  898
    -0.172      1.213     -1.375      0.455     -1.076      2.045      1.731      0.000      0.014      0.986      0.000      3.000  162
     0.266     -0.333      2.159     -0.455     -0.540     -1.349     -0.416      0.000      0.941      0.059      0.000      2.000 1204
    -0.804      1.249      0.189     -1.176      0.532      0.619      0.660      0.000      0.696      0.300      0.003      2.000  703
    -0.336     -0.421      1.884     -0.362      0.521     -0.404      0.041      0.000      0.980      0.020      0.000      2.000  657
    -2.405      0.383      1.439     -1.495     -0.366      2.042     -1.390      0.000      0.001      0.999      0.000      3.000  794
    -1.191      0.161      0.539      0.690     -1.380     -0.983      0.475      0.000      0.145      0.855      0.000      3.000  179
    -3.274      0.100      0.886     -0.564     -1.013     -1.180     -2.051      0.000      0.000      1.000      0.000      3.000  624
    -0.569     -0.227     -0.403     -2.218      1.542     -0.784      0.757      0.000      0.118      0.882      0.000      3.000 1166
    -0.266      0.776      0.999      0.923     -1.601      0.449      0.299      0.000      0.274      0.726      0.000      3.000 1342
     0.669      1.207      0.355      0.768      0.504     -0.296     -0.730      0.000      0.515      0.027      0.458      2.000 1135
    -0.487     -0.407      0.850      0.930      1.173     -0.916      1.505      0.000      0.560      0.440      0.000      2.000 1173
     0.018      0.874      2.029     -0.400      0.237     -0.235     -0.899      0.000      0.973      0.027      0.000      2.000  871
    -3.084     -1.042      0.925     -1.128     -1.179      2.611     -1.322      0.000      0.000      1.000      0.000      3.000  444
    -0.116     -0.075      0.386      1.297     -0.203      0.020     -0.299      0.000      0.831      0.079      0.090      2.000 1497
    -0.716     -0.125      0.340     -0.798      0.889      0.053      1.151      0.000      0.773      0.221      0.006      2.000  209
     1.383      0.132     -0.168      0.198      0.355     -0.328      0.633      0.000      0.052      0.003      0.945      4.000  498
     1.425     -0.012     -0.657      0.032      0.603      0.162     -0.039      0.009      0.029      0.001      0.961      4.000 1727
    -0.391      0.233     -1.342     -1.273      1.024      0.519      0.258      0.000      0.764      0.215      0.022      2.000 1369
    -3.460      1.219     -0.675     -1.698     -1.994      0.219     -3.040      0.000      0.000      1.000      0.000      3.000 1178
     1.107      0.785      0.503      0.634      0.127      0.498      0.897      0.000      0.609      0.052      0.339      2.000 1757
    -1.765      1.499      1.470      0.285     -2.090     -0.931      2.638      0.000      0.000      1.000      0.000      3.000  939
    -1.616     -2.119      1.292      0.616     -2.239     -2.015     -0.340      0.000      0.000      1.000      0.000      3.000  673
    -0.377     -0.434      0.924      0.923     -2.087     -0.531     -0.176      0.000      0.057      0.943      0.000      3.000  326
    -0.498      0.659      1.209     -2.721      0.944     -0.105      0.431      0.000      0.174      0.826      0.000      3.000  965
    -2.177     -0.706     -1.285     -1.400     -0.002     -0.427     -0.572      0.000      0.063      0.937      0.000      3.000 1741
     1.061     -0.092      0.852      0.507     -1.840     -1.405      0.854      0.000      0.081      0.919      0.000      3.000  219
    -0.128      0.016      0.979     -0.420     -0.254     -2.300     -0.972      0.000      0.574      0.426      0.000      2.000 1278
    -0.338      0.356      0.410     -1.861     -1.204     -1.516      0.591      0.000      0.078      0.922      0.000      3.000  895
    -1.050     -1.664     -0.585      0.259      0.714     -0.090      0.059      0.000      0.844      0.154      0.002      2.000 1245
     0.600      1.234     -0.988     -0.235      0.249     -0.473     -0.579      0.000      0.160      0.008      0.831      4.000 1847
     0.830     -1.166      1.994      0.088      0.825      1.118     -0.820      0.000      0.954      0.046      0.000      2.000 1255
     1.044     -0.849      0.922     -0.474      0.883      0.831      0.625      0.000      0.936      0.058      0.006      2.000  645
    -1.531      1.071      0.608     -0.455     -2.639      0.106      0.350      0.000      0.000      1.000      0.000      3.000 1188
    -0.876      0.354     -0.899     -1.377     -0.243     -1.246      0.578      0.000      0.441      0.556      0.003      3.000  757
    -0.616     -0.258      1.498      0.405     -0.987     -0.791      0.140      0.000      0.797      0.203      0.000      2.000  521
    -0.041     -0.356      1.916     -0.498      0.189      0.424     -0.100      0.000      0.982      0.018      0.000      2.000  930
    -0.080     -0.709      1.876     -1.182     -0.937      0.533     -0.095      0.000      0.817      0.183      0.000      2.000 1128
    -0.124     -1.677      0.857      0.341      0.422      0.597     -0.704      0.000      0.951      0.049      0.000      2.000 1238
    -1.685      0.390      1.065      0.239     -0.862      0.869     -0.259      0.000      0.258      0.742      0.000      3.000  557
    -0.074      0.295     -0.190      0.167      0.902      0.226      0.134      0.000      0.241      0.010      0.749      4.000  821
    -0.809     -1.236      0.860     -2.501      0.119      0.312     -0.224      0.000      0.244      0.756      0.000      3.000 1062
    -0.458     -0.466      0.183     -1.579      0.284     -0.762      0.350      0.000      0.800      0.192      0.008      2.000 1375
    -1.303      1.523      2.424     -0.717     -1.871     -3.031      0.591      0.000      0.000      1.000      0.000      3.000 1524
     0.684     -0.013     -0.499      0.558     -0.019     -0.265      0.111      0.000      0.049      0.002      0.950      4.000  356
    -2.474     -0.375     -1.858     -0.869     -0.794     -0.793     -2.755      0.000      0.000      1.000      0.000      3.000  925
    -0.786      0.871      0.690      0.096      0.255      0.895      0.667      0.000      0.855      0.144      0.002      2.000  555
    -0.235      0.256     -0.198      1.071     -1.445     -1.608      0.930      0.000      0.081      0.918      0.001      3.000  306
     0.806     -2.188      1.733      0.417      0.867      1.092      0.033      0.000      0.941      0.059      0.000      2.000  788
     0.400     -1.100      0.894      1.469      1.353     -1.344     -0.671      0.000      0.702      0.298      0.000      2.000  769
    -1.074     -0.562      1.580     -0.143     -0.723      0.199      1.699      0.000      0.312      0.688      0.000      3.000 1096
    -1.408      0.113     -0.964      1.278      0.486     -1.418      0.175      0.000      0.326      0.673      0.000      3.000  922
     1.205     -1.325     -0.017      0.147     -0.787      0.401     -0.096      0.000      0.521      0.072      0.407      2.000  565
     0.056      0.565     -0.513      1.369     -2.679      1.604      1.682      0.000      0.000      1.000      0.000      3.000 1184
     0.461     -0.946      0.067      0.157     -0.174     -1.169     -1.279      0.000      0.674      0.099      0.227      2.000 1033
    -1.778      0.370      0.881     -2.063     -1.003     -0.757      1.550      0.000      0.003      0.997      0.000      3.000  798
     0.550     -1.041     -0.925     -0.132     -0.054      1.241     -0.403      0.000      0.542      0.054      0.404      2.000  177
     1.258     -1.345      1.082      0.622      0.568      0.645      0.741      0.000      0.936      0.063      0.001      2.000 1545
     0.422     -0.091      1.827      0.036     -1.296      1.443      0.777      0.000      0.483      0.517      0.000      3.000 1492
    -1.510      0.902     -0.832      0.685      0.935     -0.411      1.109      0.000      0.296      0.704      0.000      3.000 1340
     0.506      1.549     -0.496     -0.413     -0.220      0.899      0.761      0.000      0.400      0.077      0.523      4.000 1734
    -1.255      0.644     -1.020      1.210      0.535     -0.069      0.902      0.000      0.457      0.541      0.001      3.000 1370
     0.809      0.427      2.225     -0.332      0.097      1.087      0.765      0.000      0.956      0.044      0.000      2.000  499
    -0.415     -0.313     -0.576     -1.164     -0.785     -1.495      0.104      0.000      0.485      0.498      0.017      3.000  678
    -1.370      1.653      1.370      1.421     -0.850      0.586     -1.173      0.000      0.082      0.918      0.000      3.000 1624
    -1.613      0.108     -0.246      0.561     -1.026      1.252      2.280      0.000      0.002      0.998      0.000      3.000 1283
    -0.627      0.243      0.859     -0.376     -0.056      1.377      1.068      0.000      0.692      0.308      0.000      2.000 1056
    -0.219     -0.579      2.499      0.550      0.298     -0.450      0.183      0.000      0.984      0.016      0.000      2.000 1193
     0.944      0.933      0.098     -0.490      0.595      0.434      0.811      0.000      0.243      0.017      0.740      4.000 1323
    -1.053     -1.787      0.472     -1.151     -0.213     -0.326     -1.382      0.000      0.421      0.579      0.000      3.000 1037
     1.707     -0.493     -0.478      0.085     -1.555      0.231      0.432      0.988      0.002      0.005      0.005      1.000  217
     1.115      0.929     -0.787     -0.058     -0.039      0.046      0.743      0.000      0.065      0.005      0.930      4.000  222
    -2.269     -0.366      1.209     -0.476      0.537     -1.642      0.952      0.000      0.054      0.946      0.000      3.000 1180
    -1.805     -1.195      0.434      1.230     -0.874     -1.636      0.709      0.000      0.024      0.976      0.000      3.000 1489
    -1.349     -1.176     -1.044     -1.281     -1.429     -0.013      1.179      0.000      0.016      0.984      0.000      3.000  146
    -1.633     -0.807      1.323      3.151      0.337      1.949     -2.230      0.000      0.000      1.000      0.000      3.000 1291
     0.287      0.099     -0.076      0.400     -1.649      1.540     -0.525      0.000      0.129      0.848      0.023      3.000  642
    -0.708      0.051     -0.518      0.046      0.072     -0.553     -0.297      0.000      0.635      0.051      0.314      2.000  566
